applicant_income,loan_amount,credit_score,existing_debt,employment_years,loan_term,employment_type,education,property_area,self_employed,Actual,Predicted,Approval_Probability,Prediction_Type
164164,67020,610.0,28653,5.7,60,Self-employed,High School,Semiurban,Yes,1,1,0.5691382434146967,TP
148578,43540,742.0,110964,7.8,24,Contract,High School,Semiurban,No,1,1,0.4347777452778395,TP
185360,24546,487.0,32645,2.8,48,Self-employed,Postgraduate,Rural,Yes,0,1,0.4128412852808648,FP
161627,62204,652.0,40630,3.3,48,Contract,High School,Semiurban,No,0,1,0.4459296095026484,FP
153343,45178,625.0,105284,0.0,24,Salaried,Graduate,Urban,No,0,1,0.3425198531027189,FP
149513,41497,754.0,22545,0.0,12,Contract,High School,Urban,No,1,1,0.41366962125945017,TP
46482,57645,684.0,73703,0.0,24,Self-employed,Postgraduate,Semiurban,Yes,0,0,0.0,TN
196979,90125,629.0,4450,2.4,48,Self-employed,Graduate,Semiurban,Yes,0,1,0.4604975017977928,FP
96117,40296,515.0,62656,6.9,36,Salaried,Postgraduate,Rural,No,0,0,0.16377751947709587,TN
26238,125337,580.0,80790,6.2,36,Self-employed,Graduate,Urban,Yes,0,0,0.0,TN
82019,15545,698.0,5888,4.3,36,Salaried,High School,Urban,No,0,1,0.3301017486191011,FP
28869,146414,733.0,112408,9.5,48,Self-employed,High School,Semiurban,Yes,0,0,0.0,TN
176810,39931,650.0,96698,0.0,36,Self-employed,Graduate,Urban,Yes,1,1,0.43023198695800113,TP
88683,21104,496.0,45605,4.7,36,Contract,Graduate,Semiurban,No,0,0,0.11702912219305588,TN
142097,69133,661.0,91036,0.0,12,Salaried,High School,Urban,No,0,1,0.6742648145590397,FP
69342,137700,531.0,110293,5.6,24,Salaried,Postgraduate,Urban,No,0,0,0.0,TN
136002,117642,651.0,21279,5.5,36,Contract,High School,Urban,No,0,1,0.4432870677222946,FP
99883,91682,659.0,17585,8.6,36,Salaried,Graduate,Semiurban,No,0,1,0.4430010941558631,FP
172101,122009,733.0,23311,5.4,48,Self-employed,Postgraduate,Rural,Yes,1,1,0.5558908582383515,TP
121876,117645,722.0,113297,1.0,24,Salaried,Graduate,Rural,Yes,1,1,0.23436592145028448,TP
30074,61407,732.0,97501,2.4,36,Salaried,Graduate,Urban,No,0,0,0.0,TN
36837,133491,517.0,96452,4.4,24,Self-employed,High School,Urban,Yes,0,0,0.0,TN
175200,10706,538.0,105511,7.0,12,Salaried,Graduate,Urban,No,1,1,0.2920528807733132,TP
107172,17304,657.0,69957,3.5,48,Salaried,Graduate,Rural,No,1,0,0.18395081000264718,FN
160442,81625,577.0,58453,8.9,24,Salaried,High School,Urban,No,1,1,0.35949176624662726,TP
47419,119862,723.0,91838,6.1,60,Salaried,Postgraduate,Urban,No,0,0,0.1070449307829543,TN
150906,25284,530.0,76705,3.2,60,Salaried,High School,Rural,No,0,1,0.22114632623412941,FP
42792,112684,538.0,97475,7.5,48,Contract,High School,Rural,No,0,0,0.0,TN
159854,13565,557.0,79673,7.9,12,Self-employed,Graduate,Rural,Yes,1,1,0.37465542765038923,TP
107441,142983,648.0,6045,9.4,36,Salaried,Graduate,Rural,No,0,1,0.3272794962714311,FP
165168,70471,644.0,29442,2.7,36,Salaried,,Urban,No,0,1,0.5919400358298527,FP
140790,64230,568.0,114079,10.5,24,Self-employed,Postgraduate,Urban,Yes,0,1,0.4689835237632904,FP
26280,140928,667.0,9540,11.5,36,Salaried,Graduate,Rural,No,0,0,0.11205699323187097,TN
173395,154275,461.0,5968,,36,Contract,Graduate,Urban,No,0,1,0.21909624057809168,FP
192725,85114,642.0,118395,7.0,24,Salaried,Postgraduate,Urban,Yes,0,1,0.573590035021386,FP
44100,87187,705.0,89349,7.5,36,Salaried,Postgraduate,Rural,No,1,0,0.0,FN
152541,23412,627.0,63323,8.4,36,Salaried,Graduate,Rural,No,0,1,0.663382277609826,FP
84299,158558,722.0,71291,2.0,36,Salaried,Graduate,Rural,No,0,0,0.0,TN
172348,73420,610.0,70774,,60,Self-employed,Graduate,Urban,Yes,0,1,0.45938366151824106,FP
127217,86909,709.0,114971,4.6,24,Salaried,Postgraduate,Rural,No,0,1,0.7246680374583522,FP
54853,56885,573.0,63305,10.1,36,Salaried,Postgraduate,Urban,No,0,0,0.18310299192152127,TN
194872,157831,675.0,70502,5.8,36,Self-employed,Graduate,Semiurban,Yes,1,1,0.3316625209892838,TP
55498,126462,526.0,109668,3.9,36,Salaried,High School,Semiurban,No,0,0,0.0,TN
45733,61360,658.0,7356,5.6,48,Salaried,High School,Semiurban,No,0,1,0.3077566017698769,FP
184361,77444,671.0,99169,4.7,12,Salaried,Graduate,Rural,No,1,1,0.4264798431337032,TP
80246,139490,649.0,55030,7.4,12,Self-employed,High School,Semiurban,Yes,0,0,0.0,TN
50862,101219,391.0,46249,1.8,24,Salaried,Postgraduate,Semiurban,No,0,0,0.0,TN
171955,131382,,100541,0.0,24,Salaried,High School,Urban,No,1,1,0.3426800585268712,TP
170213,38248,552.0,3122,13.0,12,Salaried,High School,Semiurban,No,0,1,0.524231038857418,FP
67677,47030,617.0,79036,1.6,12,Salaried,Graduate,Urban,No,0,0,0.18510241092446256,TN
26374,54421,724.0,10639,,24,Self-employed,High School,Semiurban,Yes,1,1,0.22133401393119428,TP
53896,55243,744.0,30524,9.4,24,Salaried,Graduate,Urban,Yes,1,1,0.5460865334865543,TP
122480,30155,602.0,6113,5.7,48,Salaried,Graduate,Rural,Yes,0,1,0.6731186138071014,FP
156044,37787,451.0,99419,5.8,12,Self-employed,Graduate,Semiurban,Yes,0,0,0.10630630843911831,TN
84953,102983,618.0,104654,7.0,12,Salaried,Graduate,Urban,No,0,0,0.0,TN
80287,100513,676.0,48822,10.3,36,Salaried,Postgraduate,Rural,No,0,1,0.2128089374047493,FP
153802,62213,739.0,7263,1.2,36,Salaried,Graduate,Semiurban,No,0,1,0.5986528429387016,FP
25950,158771,703.0,77979,4.5,24,Contract,High School,Rural,No,0,0,0.0,TN
164977,126150,654.0,85063,3.5,60,Self-employed,Graduate,Urban,Yes,0,1,0.4636965732983342,FP
128450,66571,457.0,80568,11.8,12,Self-employed,Graduate,Urban,Yes,0,0,0.10626081682273049,TN
193086,88149,673.0,30827,16.0,36,Self-employed,Postgraduate,Urban,Yes,1,1,0.8945957056342172,TP
68642,80146,647.0,3857,7.4,48,Self-employed,Graduate,Semiurban,Yes,1,0,0.10779210086146537,FN
181980,152509,696.0,26399,10.4,36,Salaried,Postgraduate,Urban,No,1,1,0.7089834553035375,TP
97200,112387,661.0,47586,6.3,36,Self-employed,High School,Semiurban,Yes,0,1,0.21723231693930273,FP
117019,80973,753.0,38094,19.8,60,Self-employed,Graduate,Urban,Yes,1,1,0.6657926666698584,TP
96607,62630,675.0,77852,2.7,60,Salaried,Graduate,Semiurban,No,0,0,0.0,TN
32813,90076,727.0,68861,9.5,48,Salaried,Postgraduate,Rural,No,0,0,0.0,TN
143873,21147,560.0,97968,13.7,24,Salaried,Graduate,Semiurban,No,0,1,0.4471060362413492,FP
144127,102087,683.0,29417,,24,Salaried,High School,Urban,No,1,1,0.4453864417497254,TP
111636,54954,554.0,38056,7.0,36,Salaried,High School,Semiurban,No,0,0,0.19484321090146733,TN
146934,143109,,75277,6.7,12,Self-employed,High School,Urban,Yes,1,1,0.21846596994624823,TP
130496,105736,655.0,113364,3.9,36,Self-employed,Graduate,Urban,Yes,1,1,0.5718052577482373,TP
68035,93368,657.0,62648,7.8,60,Salaried,Graduate,Urban,No,0,0,0.11202881739093803,TN
152224,17285,698.0,90121,4.0,24,Contract,High School,Semiurban,No,0,1,0.5936217863554424,FP
136371,115208,663.0,29945,7.7,36,Salaried,Graduate,Semiurban,Yes,0,1,0.4698283636089568,FP
56756,89898,662.0,599,6.3,36,Salaried,Graduate,Urban,No,0,1,0.3066274738515716,FP
58782,109436,,51801,11.7,24,Contract,High School,Semiurban,No,1,1,0.22666600576451815,TP
107170,155239,697.0,44427,6.6,60,Salaried,High School,Urban,No,1,0,0.18663256113539078,FN
30666,134099,655.0,68574,4.5,12,Contract,Postgraduate,Semiurban,No,0,0,0.0,TN
79242,149933,677.0,45699,4.4,48,Self-employed,Postgraduate,Semiurban,Yes,0,1,0.41929332629688154,FP
186896,17644,728.0,45033,6.2,24,Self-employed,Postgraduate,Rural,Yes,1,1,0.7894655910894766,TP
60412,78150,706.0,118780,11.6,24,Salaried,Graduate,Urban,No,0,0,0.1936000396123748,TN
35698,30312,443.0,80109,12.7,24,Salaried,Graduate,Semiurban,No,0,0,0.0,TN
110502,99185,667.0,51431,1.7,36,Salaried,Graduate,Rural,No,0,0,0.0,TN
190554,116536,739.0,78334,0.0,48,Salaried,Graduate,Rural,No,0,1,0.5957624773655438,FP
49046,49680,477.0,105849,10.9,36,Salaried,Graduate,Rural,No,0,0,0.0,TN
32563,72090,665.0,73161,8.4,24,Contract,Graduate,Urban,No,0,0,0.0,TN
50291,19829,652.0,52438,4.8,48,Salaried,Postgraduate,Rural,No,0,1,0.20660047804990528,FP
147039,118104,488.0,63316,0.0,24,Salaried,Postgraduate,Rural,No,0,0,0.10060021843906757,TN
175075,153899,795.0,1456,5.2,24,Salaried,,Rural,No,1,1,0.6503222550456785,TP
50580,121257,704.0,69839,11.7,24,Salaried,Graduate,Rural,No,0,0,0.13194858274729074,TN
142397,73774,658.0,66266,6.8,60,Salaried,Postgraduate,Semiurban,No,1,1,0.5488530329635966,TP
115876,27301,701.0,66558,11.4,36,Salaried,High School,Urban,No,1,1,0.5618778262753117,TP
171837,134818,749.0,18843,8.3,36,Salaried,High School,Urban,No,0,1,0.7897631544075006,FP
40768,30113,683.0,90131,12.7,36,Salaried,High School,Urban,No,0,1,0.3161178965472977,FP
173108,93872,592.0,1154,8.8,36,Salaried,Graduate,Urban,No,1,1,0.43859171992091694,TP
196508,35843,785.0,73352,1.8,60,Salaried,Postgraduate,Semiurban,No,1,1,0.8858965380969187,TP
117691,108615,708.0,104677,4.8,36,Contract,Graduate,Urban,No,1,1,0.21633353171996567,TP
181296,79746,608.0,79721,4.1,12,Self-employed,High School,Rural,Yes,0,1,0.5184062403829737,FP
88733,27842,687.0,82421,0.0,24,Self-employed,High School,Semiurban,Yes,0,0,0.0994154748457067,TN
132562,38703,725.0,19021,2.7,48,Salaried,Graduate,Semiurban,No,1,1,0.6739792508084799,TP
187966,90485,673.0,90490,0.0,12,Self-employed,High School,Urban,Yes,0,1,0.5569427795074856,FP
110323,104899,665.0,41088,5.0,36,Salaried,Graduate,Urban,No,0,1,0.4498482001488733,FP
89952,52080,482.0,35973,0.0,36,Self-employed,Graduate,Semiurban,Yes,0,0,0.10717297299022073,TN
89889,92965,533.0,108033,14.1,36,Self-employed,Graduate,Semiurban,Yes,0,0,0.0,TN
98546,37545,778.0,78844,2.9,60,Salaried,Postgraduate,Urban,No,0,1,0.3491571237050573,FP
103830,133220,814.0,31452,,24,Self-employed,Graduate,Semiurban,Yes,0,1,0.44608193930848244,FP
192804,136971,555.0,95702,8.9,36,Salaried,Graduate,Semiurban,No,0,1,0.28802387564948667,FP
135909,108411,784.0,106716,7.1,24,Salaried,Graduate,Urban,No,0,1,0.4466572985174959,FP
129025,87552,754.0,56625,11.4,36,Salaried,Graduate,Urban,No,0,1,0.7870551000875464,FP
160102,157697,551.0,113100,5.4,36,Self-employed,Graduate,Semiurban,Yes,0,0,0.0,TN
117115,53605,606.0,62009,8.8,24,Salaried,High School,Urban,No,1,1,0.3213197003864382,TP
150196,29036,588.0,34626,8.5,24,Salaried,Graduate,Semiurban,No,1,1,0.6488113166242075,TP
127751,105069,619.0,35914,9.0,24,Salaried,High School,Urban,No,0,1,0.3314146097777778,FP
121956,81979,746.0,11994,4.5,48,Salaried,Postgraduate,Semiurban,No,1,1,0.487126533320243,TP
152000,28098,573.0,86881,2.5,36,Salaried,Graduate,Urban,No,1,1,0.302179810166549,TP
155333,148705,695.0,57765,4.9,24,Salaried,Graduate,Urban,No,1,1,0.5541701924365936,TP
120690,23473,620.0,16558,0.0,48,Salaried,Graduate,Urban,No,0,1,0.46710578302373845,FP
130275,57406,658.0,48439,0.7,36,Salaried,Graduate,Rural,No,1,1,0.23252930774106945,TP
76953,55669,688.0,66605,7.2,36,Salaried,High School,Urban,No,1,1,0.28468470517423283,TP
48068,113964,737.0,105297,5.8,24,Salaried,High School,Urban,No,0,0,0.09279876562144125,TN
125175,34188,,81041,8.5,48,Self-employed,High School,Semiurban,Yes,1,1,0.3232325262650844,TP
102995,138974,725.0,22865,15.6,12,Salaried,Graduate,Semiurban,No,1,1,0.43677762418734273,TP
110873,26810,779.0,83132,4.2,48,Salaried,Postgraduate,Semiurban,No,0,1,0.565398815769208,FP
112561,107450,649.0,18385,3.3,48,Salaried,Graduate,Semiurban,No,1,1,0.24104724813697972,TP
96898,45757,698.0,6971,4.6,60,Self-employed,Graduate,Semiurban,Yes,1,1,0.6779907570101644,TP
102907,19221,625.0,63079,0.8,48,Self-employed,Graduate,Urban,Yes,0,1,0.2210512760878697,FP
164109,90037,552.0,118283,1.6,60,Contract,Graduate,Rural,No,0,0,0.09509743264170811,TN
100777,107632,615.0,46767,9.0,24,Salaried,Postgraduate,Urban,Yes,0,1,0.3346049820413834,FP
32282,25450,757.0,1487,0.8,24,Contract,High School,Rural,No,1,1,0.22502049760095644,TP
192946,42344,615.0,81912,18.1,24,Salaried,Postgraduate,Urban,No,0,1,0.5778381492662938,FP
66415,41822,688.0,68978,6.9,36,Salaried,Graduate,Urban,No,0,1,0.5308312360726141,FP
172627,133469,516.0,78468,5.4,36,Contract,Graduate,Semiurban,No,0,0,0.11289498834841799,TN
188942,42453,630.0,3789,3.3,36,Salaried,Graduate,Urban,No,1,1,0.5463272321603161,TP
46656,90430,559.0,59587,13.5,60,Salaried,Postgraduate,Urban,No,0,1,0.3277338915160879,FP
66430,150307,653.0,98358,3.5,36,Contract,Graduate,Semiurban,No,0,0,0.0,TN
185589,84370,633.0,108151,8.4,24,Contract,Graduate,Urban,No,0,0,0.1873492826177274,TN
59685,16038,593.0,55535,13.3,36,Salaried,,Semiurban,No,0,0,0.10837457334124073,TN
113954,85962,576.0,78787,5.0,48,Self-employed,,Urban,Yes,0,0,0.10480003159306657,TN
180595,96367,656.0,96133,0.4,36,Self-employed,High School,Rural,Yes,0,1,0.46348916530264284,FP
125180,82091,622.0,17907,6.1,36,Salaried,Graduate,Urban,No,1,1,0.6561906858132913,TP
57118,111210,541.0,4346,4.4,12,,Postgraduate,Urban,No,0,1,0.21176122343568773,FP
68371,146887,514.0,8413,11.8,36,Salaried,Graduate,Rural,No,0,0,0.10009317013472184,TN
141348,45648,773.0,71214,4.2,12,Salaried,Graduate,Semiurban,No,1,1,0.5632574673974514,TP
111126,83591,771.0,106490,5.3,24,Salaried,Graduate,Urban,No,0,1,0.3189562663338892,FP
49348,68992,479.0,26322,1.6,24,Contract,High School,Urban,No,0,0,0.0,TN
37610,33094,651.0,7198,3.5,12,Contract,Graduate,Semiurban,No,0,0,0.11119667885952794,TN
152843,65889,603.0,11104,4.2,60,Salaried,Graduate,Semiurban,No,1,1,0.8954136953702028,TP
40849,73733,516.0,45804,,48,Contract,Graduate,Rural,No,0,0,0.0,TN
199481,104842,794.0,52152,5.2,24,Salaried,Graduate,Urban,No,0,1,0.8893628391783414,FP
46040,32427,698.0,44471,7.6,24,Self-employed,Postgraduate,Urban,Yes,0,1,0.4533239268667535,FP
97716,78173,549.0,90978,6.8,48,Self-employed,Graduate,Semiurban,Yes,0,0,0.1046142265345722,TN
72343,14508,663.0,83026,8.9,24,Salaried,High School,Urban,No,0,1,0.4553885898174584,FP
165768,34046,729.0,11173,9.9,36,Salaried,High School,Rural,No,1,1,0.7023092614877962,TP
198491,113120,656.0,24552,8.2,24,Self-employed,High School,Semiurban,Yes,1,1,0.7868969113881487,TP
75558,53449,531.0,90996,6.2,60,Self-employed,Graduate,Urban,Yes,0,0,0.0,TN
74107,149935,571.0,70577,3.3,60,Self-employed,High School,Rural,Yes,0,1,0.21843944612669744,FP
54350,117991,632.0,70956,6.2,36,Self-employed,,Semiurban,Yes,0,0,0.0,TN
53178,34385,622.0,28596,9.5,48,Salaried,High School,Semiurban,No,0,0,0.10567930019342578,TN
147850,46033,591.0,45495,0.3,36,Salaried,High School,Rural,No,0,1,0.22071008467436018,FP
132218,65631,504.0,102031,6.3,24,Salaried,Graduate,Urban,No,0,0,0.10043734323172243,TN
32859,138005,668.0,48284,4.2,60,Self-employed,Postgraduate,Semiurban,Yes,0,1,0.21262224801819488,FP
196535,39671,,49731,0.5,12,Salaried,,Urban,No,0,1,0.5355464429293962,FP
183468,44607,820.0,104045,7.1,36,Self-employed,High School,Semiurban,Yes,1,1,0.7780026402261057,TP
45942,73524,801.0,29355,10.0,48,Salaried,High School,Urban,No,0,0,0.0,TN
160118,107903,585.0,97785,11.7,36,Salaried,Graduate,Rural,No,1,1,0.33584597291761803,TP
64766,120063,817.0,90881,3.6,12,Salaried,High School,Urban,No,0,0,0.10290204794023115,TN
103536,58731,706.0,32839,1.5,36,Self-employed,Graduate,Rural,Yes,0,1,0.4469050102334288,FP
