applicant_income,loan_amount,credit_score,existing_debt,employment_years,loan_term,employment_type,education,property_area,self_employed,loan_approved
157665,126601,,83672,6.9,24,Contract,Graduate,Urban,No,0
147591,154488,589.0,22859,11.5,60,Contract,Postgraduate,Urban,No,0
87042,83454,575.0,114836,8.6,24,Salaried,Postgraduate,Urban,No,0
36886,141250,844.0,7104,12.5,60,Salaried,Graduate,Semiurban,No,1
194872,157831,675.0,70502,5.8,36,Self-employed,Graduate,Semiurban,Yes,1
102995,138974,725.0,22865,15.6,12,Salaried,Graduate,Semiurban,No,1
181296,79746,608.0,79721,4.1,12,Self-employed,High School,Rural,Yes,0
143635,58789,634.0,49518,2.9,12,Salaried,Postgraduate,Urban,No,1
161217,156687,589.0,52455,1.2,36,Salaried,Postgraduate,Urban,No,0
157982,46286,425.0,80585,15.3,48,Contract,Graduate,Urban,No,1
59061,71736,533.0,90734,9.3,36,Salaried,Graduate,Semiurban,No,0
88683,21104,496.0,45605,4.7,36,Contract,Graduate,Semiurban,No,0
106676,129052,459.0,119720,11.0,36,Salaried,High School,Urban,No,0
112113,107475,548.0,59816,8.8,36,Salaried,Graduate,Rural,No,0
32665,22722,763.0,19246,13.9,48,Salaried,Graduate,Urban,Yes,1
120649,43289,646.0,767,0.0,36,Salaried,High School,Urban,No,0
52000,93319,760.0,24288,4.9,48,Salaried,Graduate,Semiurban,No,1
155090,91061,685.0,82931,4.1,60,Salaried,Postgraduate,Rural,No,1
144533,130308,717.0,64732,0.0,36,Self-employed,High School,Semiurban,Yes,1
186442,49914,573.0,40539,10.2,12,Contract,Graduate,Rural,No,0
155333,148705,695.0,57765,4.9,24,Salaried,Graduate,Urban,No,1
89162,76671,712.0,100574,9.0,36,Salaried,High School,Semiurban,No,1
194314,133387,601.0,68588,15.4,36,Salaried,Graduate,Rural,No,1
96898,45757,698.0,6971,4.6,60,Self-employed,Graduate,Semiurban,Yes,1
82019,15545,698.0,5888,4.3,36,Salaried,High School,Urban,No,0
183468,18258,603.0,57846,6.5,36,Salaried,High School,Rural,Yes,0
89830,65905,555.0,48513,9.9,48,Salaried,Postgraduate,Urban,No,0
38360,152972,,102060,3.7,24,Salaried,Graduate,Urban,No,0
107172,17304,657.0,69957,3.5,48,Salaried,Graduate,Rural,No,1
164243,65346,678.0,90823,10.2,12,Salaried,Graduate,Rural,No,0
58157,26392,583.0,70222,7.5,36,Contract,Postgraduate,Rural,No,0
106014,149734,652.0,41433,0.0,60,Salaried,Graduate,Rural,No,0
47736,111295,698.0,78880,1.1,48,Salaried,Postgraduate,Urban,No,0
145133,124403,703.0,74571,12.0,60,Salaried,Graduate,Rural,No,1
108248,116988,782.0,86425,7.6,36,Salaried,Graduate,Urban,No,1
82784,108553,759.0,22708,3.0,48,Salaried,Graduate,Semiurban,No,0
64709,126058,565.0,76985,5.3,36,Salaried,Graduate,Urban,Yes,0
123787,11218,793.0,34256,6.1,36,Salaried,Graduate,Rural,No,1
142217,139818,605.0,94829,8.9,12,Self-employed,High School,Semiurban,Yes,0
189553,120979,739.0,95822,0.6,24,Salaried,Graduate,Rural,No,1
101501,120914,656.0,74971,2.6,36,Contract,Graduate,Urban,Yes,0
53120,69015,615.0,113603,7.1,12,Salaried,High School,Urban,No,0
170718,130130,496.0,64500,5.6,48,Salaried,Graduate,Urban,No,0
135208,67272,635.0,3016,8.3,48,Contract,Graduate,Urban,No,0
147546,17344,517.0,72743,1.1,60,Self-employed,Graduate,Semiurban,Yes,0
42014,146172,732.0,93323,7.4,24,Salaried,Postgraduate,Urban,No,0
79664,45180,779.0,12143,10.4,60,Self-employed,Graduate,Semiurban,Yes,1
159372,25285,582.0,12552,7.9,12,Salaried,Postgraduate,Urban,No,1
170645,103284,676.0,32778,6.6,36,Salaried,Graduate,Urban,No,1
101162,45047,588.0,101309,5.6,48,Self-employed,High School,Semiurban,Yes,1
165833,138718,597.0,63287,2.7,12,Self-employed,Postgraduate,Urban,Yes,0
172296,76562,716.0,117172,5.7,12,,High School,Urban,No,0
92808,10675,647.0,104758,11.0,12,Self-employed,Graduate,Urban,Yes,0
182165,152757,798.0,66580,5.5,36,Salaried,Graduate,Urban,No,1
75457,87194,609.0,81486,2.4,48,Salaried,Graduate,Semiurban,No,0
66922,49446,735.0,39720,4.0,24,Contract,Graduate,Urban,No,0
144436,111593,658.0,10848,6.8,24,Salaried,Graduate,Urban,No,0
136433,89591,718.0,47848,4.5,36,Salaried,High School,Semiurban,No,0
49456,14441,612.0,71072,7.9,24,Salaried,High School,Semiurban,No,0
170728,123947,646.0,21863,8.1,48,Salaried,High School,Semiurban,No,0
59983,70203,640.0,26608,9.6,60,Salaried,High School,Urban,No,0
165857,114972,579.0,1799,11.7,48,Contract,Graduate,Rural,No,1
26288,144345,706.0,88081,10.0,60,Self-employed,Graduate,Urban,Yes,0
164447,101591,705.0,107931,2.3,36,Self-employed,Graduate,Urban,Yes,1
162711,110741,700.0,99292,2.4,48,Salaried,Graduate,Rural,No,0
161563,48197,781.0,45599,5.7,24,,High School,Semiurban,No,1
141348,45648,773.0,71214,4.2,12,Salaried,Graduate,Semiurban,No,1
107524,72250,618.0,115296,1.4,48,Salaried,Graduate,Rural,No,0
148403,137917,682.0,70963,4.2,12,Salaried,Postgraduate,Urban,Yes,0
73496,88628,,35506,4.1,60,Self-employed,Graduate,Rural,Yes,1
161627,62204,652.0,40630,3.3,48,Contract,High School,Semiurban,No,0
122238,126941,599.0,87255,4.7,60,Salaried,Graduate,Urban,No,0
105310,138001,788.0,53550,,36,Salaried,Postgraduate,Urban,No,0
113481,145380,681.0,100476,6.8,36,Self-employed,Graduate,Urban,Yes,0
124529,54841,631.0,103693,,48,Salaried,High School,Rural,No,1
31520,116446,751.0,4300,6.7,24,Contract,,Urban,No,0
49464,98548,465.0,86798,4.8,36,Salaried,Graduate,Urban,No,0
67959,77345,479.0,44395,6.0,48,Salaried,Postgraduate,Semiurban,No,0
45042,69541,718.0,62370,7.0,60,Salaried,Graduate,Semiurban,No,0
101932,27182,655.0,31775,7.7,48,Contract,Graduate,Urban,No,1
141970,51223,671.0,44187,14.3,24,Salaried,Graduate,Rural,No,1
139525,92449,537.0,39645,2.6,36,Self-employed,Postgraduate,Semiurban,Yes,0
107441,142983,648.0,6045,9.4,36,Salaried,Graduate,Rural,No,0
174639,139951,820.0,93932,6.8,24,Salaried,Postgraduate,Urban,No,1
123916,38139,720.0,17160,0.0,36,Contract,Graduate,Urban,No,0
38859,111898,664.0,45095,9.1,24,Salaried,Graduate,Semiurban,No,0
158874,22721,613.0,23163,11.1,24,Salaried,Graduate,Urban,No,1
125555,111251,616.0,19273,2.6,36,Salaried,Graduate,Semiurban,No,1
136075,61289,469.0,44806,6.0,24,Contract,Postgraduate,Urban,No,0
123940,77477,672.0,110251,0.0,36,Salaried,Graduate,Semiurban,No,0
121876,117645,722.0,113297,1.0,24,Salaried,Graduate,Rural,Yes,1
40849,73733,516.0,45804,,48,Contract,Graduate,Rural,No,0
122861,131114,594.0,60618,4.1,24,Self-employed,Graduate,Rural,Yes,0
164109,90037,552.0,118283,1.6,60,Contract,Graduate,Rural,No,0
78191,159811,,28180,6.9,12,Self-employed,Graduate,Urban,Yes,0
130496,105736,655.0,113364,3.9,36,Self-employed,Graduate,Urban,Yes,1
30393,54454,473.0,12690,4.1,36,Salaried,Graduate,Rural,No,0
85812,126293,702.0,27102,9.0,24,Salaried,Graduate,Rural,No,0
101425,71191,714.0,40596,1.4,36,Self-employed,High School,Rural,Yes,1
196979,90125,629.0,4450,2.4,48,Self-employed,Graduate,Semiurban,Yes,0
62552,30523,,97887,6.6,60,Contract,Graduate,Urban,Yes,0
73395,27901,565.0,102649,9.9,36,Salaried,Graduate,Rural,No,0
96492,96230,755.0,46001,11.0,24,Salaried,Graduate,Rural,No,1
198716,38003,414.0,100366,3.3,48,Salaried,Graduate,Semiurban,No,1
174345,159637,,92700,9.7,36,Self-employed,Postgraduate,Rural,Yes,1
31071,138351,550.0,96168,2.9,24,Salaried,Graduate,Semiurban,No,0
65939,115132,718.0,96324,13.3,48,Self-employed,Graduate,Rural,Yes,0
168793,120204,593.0,68817,1.5,36,Salaried,Graduate,Urban,No,1
35202,99281,684.0,13298,,48,,Graduate,Rural,No,0
174742,19043,698.0,110818,3.4,36,Salaried,Graduate,Urban,No,1
74242,68855,806.0,73039,14.1,36,Self-employed,Graduate,Urban,Yes,0
185589,84370,633.0,108151,8.4,24,Contract,Graduate,Urban,No,0
76378,147294,682.0,115091,1.9,48,Salaried,High School,Semiurban,No,0
101005,42923,524.0,22459,3.9,24,,Graduate,Urban,No,0
140835,84537,751.0,48256,9.1,48,Salaried,High School,Rural,No,1
47099,61609,585.0,23099,10.2,48,Salaried,Graduate,Semiurban,No,0
122480,30155,602.0,6113,5.7,48,Salaried,Graduate,Rural,Yes,0
113377,25452,,115968,6.2,12,Contract,Graduate,Urban,No,0
162182,64806,517.0,110796,9.0,24,Contract,Graduate,Urban,No,0
199318,22363,669.0,111809,6.5,36,Salaried,Postgraduate,Semiurban,No,1
141254,20075,732.0,106039,0.8,36,Salaried,Graduate,Semiurban,No,1
96607,62630,675.0,77852,2.7,60,Salaried,Graduate,Semiurban,No,0
96117,40296,515.0,62656,6.9,36,Salaried,Postgraduate,Rural,No,0
98142,93221,639.0,118976,10.9,60,Salaried,Graduate,Rural,No,0
167453,12650,713.0,66270,12.5,24,Self-employed,Graduate,Semiurban,Yes,0
81212,55271,490.0,77091,9.1,36,Salaried,High School,Rural,No,0
54220,77991,559.0,25408,7.1,12,Self-employed,Graduate,Semiurban,Yes,0
83501,154471,725.0,89604,9.0,48,Salaried,Graduate,Semiurban,No,1
28974,105181,,98334,3.3,24,Self-employed,High School,Urban,Yes,0
43574,142107,685.0,81423,5.4,24,Self-employed,Graduate,Urban,Yes,0
40758,61493,808.0,59832,2.7,48,Salaried,High School,Urban,No,0
160021,77456,690.0,23744,1.0,36,Salaried,Graduate,Semiurban,Yes,1
151412,73057,706.0,4065,7.3,12,Self-employed,High School,Semiurban,Yes,1
146934,143109,,75277,6.7,12,Self-employed,High School,Urban,Yes,1
105828,153881,632.0,81961,8.8,36,,Postgraduate,Semiurban,No,0
150485,154350,582.0,92713,8.2,36,Salaried,,Urban,Yes,0
53222,122794,686.0,114059,7.0,24,Salaried,Postgraduate,Urban,No,0
182608,85466,687.0,59683,8.2,36,Self-employed,Graduate,Rural,Yes,1
112682,91128,605.0,99498,,24,Self-employed,High School,Urban,Yes,0
189158,157076,562.0,85954,7.7,36,Salaried,Graduate,Urban,No,0
51654,52681,846.0,33263,3.1,36,Self-employed,Graduate,Semiurban,Yes,1
112032,62006,678.0,101414,7.5,24,Self-employed,High School,Urban,Yes,0
146856,144549,588.0,6399,8.7,24,Self-employed,Postgraduate,Semiurban,Yes,1
111734,67948,728.0,71866,3.3,24,Salaried,Graduate,Rural,No,0
103077,45264,641.0,112842,6.2,12,Salaried,Graduate,Semiurban,No,1
54087,94070,629.0,79075,3.5,36,Salaried,Graduate,Semiurban,No,0
91678,58801,698.0,112447,3.9,60,Salaried,Graduate,Urban,No,0
66784,143631,540.0,6739,1.5,48,,Graduate,Semiurban,No,0
77764,146359,680.0,63889,11.1,36,Salaried,Postgraduate,Urban,No,0
144647,55901,813.0,93673,10.3,36,Salaried,Graduate,Urban,No,1
135299,89431,690.0,77078,8.1,36,Self-employed,High School,Rural,Yes,0
131259,157598,618.0,105664,13.9,48,Salaried,High School,Urban,No,0
88317,121347,607.0,55512,5.2,24,Self-employed,Graduate,Semiurban,Yes,0
192946,42344,615.0,81912,18.1,24,Salaried,Postgraduate,Urban,No,0
40338,98611,628.0,50371,5.1,36,Salaried,Postgraduate,Rural,Yes,0
84953,102983,618.0,104654,7.0,12,Salaried,Graduate,Urban,No,0
45651,108015,728.0,14333,4.4,36,Self-employed,Postgraduate,Urban,Yes,0
84315,13751,503.0,30494,7.5,60,Self-employed,Graduate,Rural,Yes,0
193332,54907,723.0,11610,9.3,60,Salaried,Graduate,Semiurban,No,1
89096,138192,618.0,84252,5.5,24,Self-employed,Graduate,Rural,Yes,0
184001,46205,682.0,27927,13.1,36,Salaried,High School,Urban,No,1
111636,54954,554.0,38056,7.0,36,Salaried,High School,Semiurban,No,0
147448,58373,763.0,100396,7.1,36,Salaried,Graduate,Rural,No,1
105048,36608,756.0,43221,2.4,36,Salaried,High School,Semiurban,No,0
71527,33316,732.0,17499,7.7,12,Salaried,Postgraduate,Semiurban,No,1
158740,62052,521.0,2516,5.5,48,Contract,Postgraduate,Urban,No,0
194605,141147,720.0,27203,3.6,60,,Graduate,Semiurban,No,1
71116,10230,684.0,109762,2.9,48,Salaried,Graduate,Rural,No,0
161281,52487,514.0,65833,16.7,48,Salaried,Graduate,Semiurban,No,0
70699,19094,648.0,119379,4.9,36,Salaried,High School,Rural,No,0
150455,94223,681.0,25815,0.2,36,Salaried,Graduate,Semiurban,No,0
163076,47590,,42177,3.2,24,Contract,High School,Semiurban,No,1
103638,128796,665.0,19584,5.8,36,Self-employed,Graduate,Urban,Yes,1
153960,97752,675.0,47805,8.2,12,Salaried,High School,Semiurban,No,1
72642,127573,775.0,67597,8.2,48,Self-employed,High School,Rural,Yes,0
38869,105236,754.0,96975,8.7,36,Salaried,High School,Semiurban,Yes,0
41868,75757,406.0,44171,3.4,36,Salaried,Postgraduate,Urban,No,0
103229,139145,623.0,92583,7.4,36,Salaried,High School,Semiurban,No,0
182955,81438,636.0,75139,2.5,60,Salaried,Graduate,Semiurban,No,1
47325,152490,501.0,35017,3.5,24,Salaried,Graduate,Rural,No,0
104760,159205,658.0,109464,2.3,24,Self-employed,Graduate,Urban,Yes,0
148205,98353,756.0,52109,1.2,24,Salaried,Graduate,Urban,No,1
60413,111189,558.0,18119,,48,Contract,High School,Urban,No,0
151282,48349,679.0,115523,8.8,60,Self-employed,Graduate,Urban,Yes,1
78542,132195,572.0,109612,9.9,24,Self-employed,Graduate,Rural,Yes,0
166515,110738,593.0,5944,6.2,60,Self-employed,Graduate,Urban,Yes,0
126363,145383,776.0,108298,9.1,24,Contract,Graduate,Semiurban,No,0
120708,50051,604.0,113685,0.0,36,Salaried,Graduate,Urban,No,0
55935,128138,689.0,99490,9.5,12,Salaried,,Urban,No,0
106061,80541,491.0,30599,6.7,36,Salaried,High School,Rural,No,0
174907,37776,808.0,75754,8.5,48,Contract,,Semiurban,No,1
28416,35679,701.0,64588,7.5,36,Salaried,High School,Urban,No,0
157740,94325,634.0,74417,2.1,24,Salaried,Graduate,Urban,No,0
111233,57917,699.0,73973,0.0,48,Self-employed,Graduate,Rural,Yes,1
150906,25284,530.0,76705,3.2,60,Salaried,High School,Rural,No,0
141077,74071,751.0,61680,8.3,36,Contract,High School,Urban,No,1
100616,107938,622.0,82859,8.8,36,Salaried,Graduate,Semiurban,Yes,0
79016,57842,633.0,63192,0.5,48,Salaried,Graduate,Urban,No,1
134779,153302,608.0,1977,2.1,24,Salaried,Postgraduate,Semiurban,No,1
49539,126932,601.0,4233,3.1,60,Salaried,Postgraduate,Urban,No,0
127217,86909,709.0,114971,4.6,24,Salaried,Postgraduate,Rural,No,0
41571,150198,672.0,109110,0.6,48,Salaried,Graduate,Rural,No,0
138723,74945,705.0,70272,0.3,24,Salaried,Graduate,Urban,No,1
135030,30950,649.0,20950,2.7,24,Self-employed,Graduate,Semiurban,Yes,1
39777,15376,694.0,93775,6.3,36,Contract,Graduate,Urban,No,0
157560,150703,614.0,17194,1.3,36,Salaried,Graduate,Urban,No,0
97766,153966,840.0,45273,5.5,60,Salaried,Graduate,Urban,No,1
162705,120887,517.0,39583,10.2,60,Salaried,High School,Urban,No,0
32282,25450,757.0,1487,0.8,24,Contract,High School,Rural,No,1
56404,54047,766.0,96841,5.2,24,Self-employed,High School,Urban,Yes,0
111448,16161,,61168,10.1,36,Salaried,High School,Rural,No,1
57939,17687,839.0,37950,4.3,36,Salaried,Postgraduate,Urban,No,1
82725,46909,735.0,60862,3.7,36,Contract,High School,Semiurban,No,0
140604,95821,733.0,0,10.7,60,Contract,Graduate,Semiurban,No,1
50291,19829,652.0,52438,4.8,48,Salaried,Postgraduate,Rural,No,0
143598,157690,632.0,62349,10.4,12,Self-employed,Graduate,Urban,Yes,1
43095,78267,632.0,40766,,36,Salaried,Graduate,Urban,No,0
55657,49576,683.0,99645,4.6,36,Salaried,Graduate,Semiurban,No,0
127837,87413,769.0,29979,7.9,36,Self-employed,Graduate,Semiurban,Yes,0
163859,128523,665.0,16538,7.3,24,Salaried,Graduate,Semiurban,No,1
54853,56885,573.0,63305,10.1,36,Salaried,Postgraduate,Urban,No,0
77498,17127,720.0,106473,3.8,36,Contract,Graduate,Urban,No,0
186896,17644,728.0,45033,6.2,24,Self-employed,Postgraduate,Rural,Yes,1
198194,137797,706.0,5595,5.8,48,Salaried,Postgraduate,Semiurban,No,0
126685,26740,713.0,116391,8.8,36,Self-employed,Graduate,Semiurban,Yes,1
103231,105334,627.0,53315,1.9,36,Self-employed,Graduate,Urban,Yes,0
85702,67675,571.0,20751,10.1,36,Salaried,Graduate,Urban,No,1
132179,126627,576.0,73873,7.9,60,Contract,Graduate,Rural,No,0
128410,19079,511.0,38359,0.7,24,Self-employed,Graduate,Semiurban,Yes,0
76581,144668,670.0,112535,,24,Salaried,Graduate,Urban,No,0
28990,114728,643.0,35275,14.9,36,Salaried,Postgraduate,Rural,No,0
51512,77391,613.0,66016,10.0,36,Self-employed,Graduate,Semiurban,Yes,0
192747,41053,399.0,65197,11.7,24,Contract,Graduate,Urban,No,0
98177,156571,,29092,6.3,48,Salaried,Graduate,Urban,No,0
109403,55310,745.0,59913,0.0,24,Salaried,Graduate,Semiurban,No,1
106743,83576,594.0,13088,,12,Self-employed,Graduate,Urban,Yes,0
161978,69118,681.0,77248,7.0,36,Salaried,Graduate,Semiurban,No,0
36367,44582,532.0,90998,3.6,48,,Graduate,Semiurban,No,0
39477,72491,772.0,114000,2.3,60,Contract,Graduate,Urban,No,0
73273,32722,638.0,39093,5.7,48,Self-employed,Graduate,Rural,Yes,0
110165,10249,675.0,34226,8.5,36,Contract,High School,Urban,No,0
142446,53498,848.0,65857,,48,Self-employed,Graduate,Urban,Yes,1
110873,26810,779.0,83132,4.2,48,Salaried,Postgraduate,Semiurban,No,0
102204,72216,624.0,119095,12.0,24,Contract,Graduate,Semiurban,No,0
189119,139414,600.0,3004,1.7,36,Salaried,Postgraduate,Urban,No,1
53178,34385,622.0,28596,9.5,48,Salaried,High School,Semiurban,No,0
125052,10184,693.0,31486,4.1,36,Contract,Graduate,Rural,No,1
119892,26664,641.0,30645,8.2,48,Self-employed,,Rural,Yes,1
107860,86225,616.0,55646,10.4,36,Contract,Graduate,Rural,No,1
166329,51225,775.0,104749,9.0,36,Salaried,Graduate,Urban,No,1
71720,83425,640.0,3719,9.6,12,Contract,Graduate,Urban,No,0
191910,14387,845.0,97900,1.4,48,Self-employed,Postgraduate,Semiurban,Yes,1
83024,59964,658.0,74120,10.5,60,Self-employed,Graduate,Urban,Yes,0
120375,71520,802.0,73823,2.6,24,Contract,High School,Semiurban,No,0
116117,74699,680.0,81397,7.0,36,,Graduate,Urban,No,1
173711,92673,732.0,13849,,12,Self-employed,Graduate,Urban,Yes,1
101809,127087,588.0,89607,7.9,12,Self-employed,Graduate,Urban,Yes,0
74797,80084,577.0,29775,7.3,60,Self-employed,Graduate,Urban,Yes,0
28782,136180,689.0,61988,2.6,36,Contract,Graduate,Urban,No,0
88643,89460,734.0,81225,0.6,36,Self-employed,Graduate,Semiurban,Yes,0
169601,49052,653.0,72473,9.5,24,Salaried,Graduate,Semiurban,No,1
26735,44352,541.0,38774,6.7,60,Salaried,Graduate,Urban,No,0
181828,58373,534.0,47527,10.6,24,Contract,Graduate,Urban,No,1
119994,99619,529.0,57181,,48,Contract,Graduate,Rural,No,0
49543,46372,500.0,4950,0.4,24,Contract,Postgraduate,Urban,No,0
77881,147126,659.0,87125,9.9,12,Salaried,Graduate,Semiurban,No,0
121956,81979,746.0,11994,4.5,48,Salaried,Postgraduate,Semiurban,No,1
80246,139490,649.0,55030,7.4,12,Self-employed,High School,Semiurban,Yes,0
44000,112488,458.0,78599,3.4,48,Self-employed,Graduate,Rural,Yes,0
141548,60002,634.0,9647,12.6,24,Salaried,Graduate,Semiurban,No,1
142642,44237,636.0,119466,2.5,48,Self-employed,Graduate,Rural,Yes,0
45802,121591,828.0,45266,4.7,48,Salaried,Graduate,Rural,Yes,1
74215,59610,526.0,1896,6.4,48,Salaried,Graduate,Urban,No,0
67677,47030,617.0,79036,1.6,12,Salaried,Graduate,Urban,No,0
140398,149557,795.0,66910,7.3,48,Salaried,Postgraduate,Urban,No,1
152801,82394,688.0,76839,12.4,60,Salaried,Graduate,Urban,No,1
152224,17285,698.0,90121,4.0,24,Contract,High School,Semiurban,No,0
189283,84215,660.0,57076,7.6,24,Self-employed,Graduate,Urban,Yes,1
159513,79115,678.0,99212,0.0,48,Contract,,Urban,No,0
81118,139595,716.0,44417,5.8,24,Salaried,High School,Urban,No,0
43854,116733,581.0,65424,4.7,48,Salaried,,Semiurban,No,0
132562,38703,725.0,19021,2.7,48,Salaried,Graduate,Semiurban,No,1
185302,32568,533.0,74389,10.3,12,Self-employed,High School,Rural,Yes,1
195652,100539,678.0,31391,4.7,36,Salaried,Graduate,Urban,No,1
65287,17106,665.0,83606,5.3,36,Self-employed,Graduate,Urban,Yes,1
66379,57852,598.0,96126,4.5,36,Self-employed,Graduate,Rural,Yes,0
31547,30730,648.0,103075,0.0,60,Contract,Graduate,Semiurban,No,0
49720,13084,597.0,111489,1.5,24,Salaried,High School,Semiurban,No,0
122099,147823,559.0,14674,9.8,36,Salaried,Postgraduate,Semiurban,Yes,0
120690,23473,620.0,16558,0.0,48,Salaried,Graduate,Urban,No,0
89911,11388,556.0,111141,2.9,24,Salaried,High School,Rural,No,0
79242,149933,677.0,45699,4.4,48,Self-employed,Postgraduate,Semiurban,Yes,0
170213,38248,552.0,3122,13.0,12,Salaried,High School,Semiurban,No,0
105505,132483,711.0,34438,9.1,36,Self-employed,Graduate,Semiurban,Yes,1
166444,14692,550.0,100343,3.8,12,Salaried,Graduate,Urban,No,0
193562,33033,602.0,42598,11.2,48,Contract,Postgraduate,Urban,No,0
80499,26594,597.0,9208,3.0,48,Contract,Postgraduate,Semiurban,No,0
60479,115939,763.0,86653,10.0,48,Salaried,Graduate,Semiurban,No,0
191757,103022,678.0,23355,0.6,60,Contract,Graduate,Urban,No,0
136095,81325,632.0,42336,10.3,48,Salaried,Graduate,Urban,No,0
75910,46245,692.0,467,4.4,48,Self-employed,Graduate,Rural,Yes,1
133825,23328,471.0,72239,1.9,36,Contract,Graduate,Urban,No,0
115134,95381,646.0,53430,5.1,60,Self-employed,High School,Urban,Yes,0
183468,44607,820.0,104045,7.1,36,Self-employed,High School,Semiurban,Yes,1
69793,98529,661.0,40123,4.0,60,Salaried,High School,Rural,No,1
198491,113120,656.0,24552,8.2,24,Self-employed,High School,Semiurban,Yes,1
188807,137415,,19919,3.7,36,Self-employed,Graduate,Rural,Yes,0
56622,84097,726.0,24019,8.5,48,Salaried,Postgraduate,Urban,No,0
53806,10711,480.0,54130,7.8,24,Salaried,Graduate,Rural,No,0
118302,52100,507.0,10459,,24,Self-employed,Graduate,Rural,Yes,0
32859,138005,668.0,48284,4.2,60,Self-employed,Postgraduate,Semiurban,Yes,0
77289,89987,589.0,102561,6.6,36,Salaried,Graduate,Semiurban,No,0
101141,102867,,92119,8.2,24,Contract,Graduate,Urban,No,0
194640,78673,623.0,76471,14.2,36,,Postgraduate,Urban,Yes,1
198665,34411,486.0,107175,9.8,36,Salaried,Graduate,Urban,No,1
51519,144505,542.0,93625,9.9,36,Salaried,Graduate,Urban,No,0
181043,125940,416.0,78308,18.4,60,Self-employed,Postgraduate,Rural,Yes,1
40912,159277,630.0,103568,8.1,60,Self-employed,Graduate,Urban,Yes,0
156006,138323,,14929,7.9,48,Salaried,Graduate,Semiurban,No,0
172987,53669,614.0,98191,8.8,48,Salaried,Postgraduate,Urban,No,1
180888,48139,,35446,2.0,36,Self-employed,Graduate,Urban,Yes,1
64098,47271,752.0,87967,4.2,60,Self-employed,Postgraduate,Urban,Yes,0
181353,147819,636.0,109598,4.0,24,Self-employed,High School,Urban,Yes,0
45296,93540,469.0,59523,8.6,24,Salaried,High School,Semiurban,No,0
115800,78168,702.0,10648,,60,Self-employed,Graduate,Rural,Yes,0
107170,155239,697.0,44427,6.6,60,Salaried,High School,Urban,No,1
